 frequency       nfr             nfminr          rnr            
 1.00000000e+08  6.89463808e+00  2.89298240e-15  1.94587127e+02 
 1.12201845e+08  6.89463301e+00  0.00000000e+00  1.94586806e+02 
 1.25892541e+08  6.89462650e+00  0.00000000e+00  1.94586402e+02 
 1.41253754e+08  6.89461835e+00  0.00000000e+00  1.94585894e+02 
 1.58489319e+08  6.89460811e+00  0.00000000e+00  1.94585254e+02 
 1.77827941e+08  6.89459530e+00  1.92865493e-15  1.94584448e+02 
 1.99526231e+08  6.89457902e+00  0.00000000e+00  1.94583434e+02 
 2.23872114e+08  6.89455856e+00  0.00000000e+00  1.94582157e+02 
 2.51188643e+08  6.89453297e+00  0.00000000e+00  1.94580549e+02 
 2.81838293e+08  6.89450053e+00  6.75029227e-15  1.94578525e+02 
 3.16227766e+08  6.89445980e+00  0.00000000e+00  1.94575978e+02 
 3.54813389e+08  6.89440833e+00  0.00000000e+00  1.94572770e+02 
 3.98107171e+08  6.89434403e+00  9.64327467e-16  1.94568733e+02 
 4.46683592e+08  6.89426263e+00  1.25362571e-14  1.94563650e+02 
 5.01187234e+08  6.89416018e+00  6.75029227e-15  1.94557251e+02 
 5.62341325e+08  6.89403178e+00  0.00000000e+00  1.94549197e+02 
 6.30957344e+08  6.89386973e+00  6.75029227e-15  1.94539058e+02 
 7.07945784e+08  6.89366501e+00  0.00000000e+00  1.94526295e+02 
 7.94328235e+08  6.89340716e+00  2.89298240e-15  1.94510229e+02 
 8.91250938e+08  6.89308550e+00  1.35005845e-14  1.94490008e+02 
 1.00000000e+09  6.89267806e+00  1.25362571e-14  1.94464557e+02 
 1.12201845e+09  6.89216458e+00  0.00000000e+00  1.94432526e+02 
 1.25892541e+09  6.89152001e+00  0.00000000e+00  1.94392216e+02 
 1.41253754e+09  6.89070959e+00  4.82163733e-15  1.94341492e+02 
 1.58489319e+09  6.88968501e+00  2.89298240e-15  1.94277672e+02 
 1.77827941e+09  6.88839807e+00  4.82163733e-15  1.94197387e+02 
 1.99526231e+09  6.88678972e+00  0.00000000e+00  1.94096409e+02 
 2.23872114e+09  6.88475217e+00  1.25362571e-14  1.93969434e+02 
 2.51188643e+09  6.88218317e+00  0.00000000e+00  1.93809819e+02 
 2.81838293e+09  6.87895621e+00  0.00000000e+00  1.93609248e+02 
 3.16227766e+09  6.87493108e+00  0.00000000e+00  1.93357333e+02 
 3.54813389e+09 -nan -nan  1.93041122e+02 
 3.98107171e+09  6.86345973e+00  9.64327467e-15  1.92644503e+02 
 4.46683592e+09  6.85543506e+00  9.64327467e-16  1.92147501e+02 
 5.01187234e+09  6.84539815e+00  4.82163733e-15  1.91525447e+02 
 5.62341325e+09  6.83277646e+00  0.00000000e+00  1.90748032e+02 
 6.30957344e+09  6.81723683e+00  0.00000000e+00  1.89778251e+02 
 7.07945784e+09  6.79740993e+00  6.75029227e-15  1.88571303e+02 
 7.94328235e+09  6.77285038e+00  0.00000000e+00  1.87073500e+02 
 8.91250938e+09  6.74225027e+00  1.35005845e-14  1.85221376e+02 
 1.00000000e+10  6.70418321e+00  7.71461973e-15  1.82941195e+02 
 1.12201845e+10 -nan -nan  1.80149225e+02 
 1.25892541e+10  6.59951979e+00  6.75029227e-15  1.76753235e+02 
 1.41253754e+10  6.52879331e+00 -4.82163733e-16  1.72655770e+02 
 1.58489319e+10  6.44277702e+00  0.00000000e+00  1.67759833e+02 
 1.77827941e+10  6.33880867e+00  8.67894720e-15  1.61977419e+02 
 1.99526231e+10  6.21488800e+00  0.00000000e+00  1.55241022e+02 
